ResponseField,TargetField,DataType
id,id,INT64
account_id,account_id,INT64
actor_id,actor_id,INT64
adlabels,adlabels,JSON
applink_treatment,applink_treatment,STRING
asset_feed_spec,asset_feed_spec,JSON
authorization_category,authorization_category,STRING
body,body,STRING
branded_content,branded_content,JSON
bundle_folder_id,bundle_folder_id,INT64
call_to_action_type,call_to_action_type,STRING
categorization_criteria,categorization_criteria,STRING
category_media_source,category_media_source,STRING
collaborative_ads_lsb_image_bank_id,collaborative_ads_lsb_image_bank_id,INT64
degrees_of_freedom_spec,degrees_of_freedom_spec,JSON
destination_set_id,destination_set_id,INT64
dynamic_ad_voice,dynamic_ad_voice,STRING
effective_authorization_category,effective_authorization_category,STRING
effective_instagram_media_id,effective_instagram_media_id,INT64
effective_instagram_story_id,effective_instagram_story_id,INT64
effective_object_story_id,effective_object_story_id,STRING
enable_direct_install,enable_direct_install,BOOL
enable_launch_instant_app,enable_launch_instant_app,BOOL
facebook_branded_content,facebook_branded_content,JSON
image_crops,image_crops,JSON
image_hash,image_hash,STRING
image_url,image_url,STRING
instagram_actor_id,instagram_actor_id,INT64
instagram_branded_content,instagram_branded_content,JSON
instagram_permalink_url,instagram_permalink_url,STRING
instagram_story_id,instagram_story_id,INT64
interactive_components_spec,interactive_components_spec,JSON
link_destination_display_url,link_destination_display_url,STRING
link_og_id,link_og_id,INT64
link_url,link_url,STRING
messenger_sponsored_message,messenger_sponsored_message,STRING
name,name,STRING
object_id,object_id,INT64
object_store_url,object_store_url,STRING
object_story_id,object_story_id,STRING
object_story_spec,object_story_spec,JSON
object_type,object_type,STRING
object_url,object_url,STRING
photo_album_source_object_story_id,photo_album_source_object_story_id,STRING
place_page_set_id,place_page_set_id,INT64
platform_customizations,platform_customizations,JSON
playable_asset_id,playable_asset_id,INT64
portrait_customizations,portrait_customizations,JSON
product_set_id,product_set_id,INT64
recommender_settings,recommender_settings,JSON
source_instagram_media_id,source_instagram_media_id,INT64
status,status,STRING
template_url,template_url,STRING
template_url_spec,template_url_spec,JSON
thumbnail_id,thumbnail_id,INT64
thumbnail_url,thumbnail_url,STRING
title,title,STRING
url_tags,url_tags,STRING
use_page_actor_override,use_page_actor_override,BOOL
video_id,video_id,INT64
