SourceField,TargetField,DataType
stat_time_day,stat_time_day,DATE
campaign_name,campaign_name,STRING
campaign_id,campaign_id,STRING
adgroup_name,adgroup_name,STRING
adgroup_id,adgroup_id,STRING
advertiser_id,advertiser_id,STRING
advertiser_name,advertiser_name,STRING
ad_id,ad_id,STRING
ad_name,ad_name,STRING
aeo_type,aeo_type,STRING
ad_text,ad_text,STRING
image_mode,image_mode,STRING
gross_impressions,gross_impressions,INT64
cost_per_1000_reached,cost_per_1000_reached,FLOAT64
real_time_conversion,real_time_conversion,INT64
real_time_cost_per_conversion,real_time_cost_per_conversion,FLOAT64
real_time_conversion_rate,real_time_conversion_rate,FLOAT64
result,result,INT64
cost_per_result,cost_per_result,FLOAT64
result_rate,result_rate,FLOAT64
real_time_result,real_time_result,INT64
real_time_cost_per_result,real_time_cost_per_result,FLOAT64
real_time_result_rate,real_time_result_rate,FLOAT64
is_smart_creative,is_smart_creative,BOOL
video_watched_2s,video_watched_2s,INT64
video_watched_6s,video_watched_6s,INT64
average_video_play,average_video_play,FLOAT64
average_video_play_per_user,average_video_play_per_user,FLOAT64
video_views_p25,video_views_p25,INT64
video_views_p50,video_views_p50,INT64
video_views_p75,video_views_p75,INT64
video_views_p100,video_views_p100,INT64
engaged_view,engaged_view,INT64
profile_visits,profile_visits,INT64
profile_visits_rate,profile_visits_rate,FLOAT64
clicks_on_music_disc,clicks_on_music_disc,INT64
spend,spend,FLOAT64
impressions,impressions,INT64
clicks,clicks,INT64
ctr,ctr,FLOAT64
cpc,cpc,FLOAT64
cpm,cpm,FLOAT64
reach,reach,INT64
frequency,frequency,FLOAT64
conversion,conversion,INT64
video_play_actions,video_play_actions,INT64
likes,likes,INT64
comments,comments,INT64
shares,shares,INT64
follows,follows,INT64
country_code,country_code,STRING
currency,currency,STRING
budget,budget,FLOAT64
campaign_budget,campaign_budget,FLOAT64
placement_type,placement_type,STRING
smart_target,smart_target,STRING
cost_per_conversion,cost_per_conversion,FLOAT64
conversion_rate,conversion_rate,FLOAT64
conversion_rate_v2,conversion_rate_v2,FLOAT64
timezone,timezone,STRING
display_timezone,display_timezone,STRING
